Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
org.apache.commons.collections4.bag.PredicatedBag	boolean equals(java.lang.Object)	28	2	2
org.apache.commons.collections4.bag.AbstractMapBag$BagIterator	boolean hasNext()	27	14	9
org.apache.commons.collections4.bag.AbstractMapBag$BagIterator	java.lang.Object next()	28	21	4
org.apache.commons.collections4.bag.AbstractMapBag$BagIterator	void remove()	3	2	1
org.apache.commons.collections4.bag.TreeBag	boolean add(java.lang.Object)	4	1	1
org.apache.commons.collections4.bag.TransformedBag	boolean equals(java.lang.Object)	28	2	2
org.apache.commons.collections4.bag.UnmodifiableSortedBag	java.util.Iterator iterator()	29	17	10
org.apache.commons.collections4.bag.UnmodifiableSortedBag	boolean add(java.lang.Object)	4	1	1
org.apache.commons.collections4.bag.UnmodifiableSortedBag	boolean addAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.bag.UnmodifiableBag	java.util.Iterator iterator()	29	17	10
org.apache.commons.collections4.bag.UnmodifiableBag	boolean add(java.lang.Object)	4	1	1
org.apache.commons.collections4.bag.UnmodifiableBag	boolean addAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.bag.CollectionSortedBag	boolean add(java.lang.Object)	4	1	1
org.apache.commons.collections4.bag.CollectionSortedBag	boolean addAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.bag.CollectionBag	boolean add(java.lang.Object)	4	1	1
org.apache.commons.collections4.bag.CollectionBag	boolean addAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.BagUtils	org.apache.commons.collections4.Bag synchronizedBag(org.apache.commons.collections4.Bag)	2	1	1
org.apache.commons.collections4.BagUtils	org.apache.commons.collections4.Bag unmodifiableBag(org.apache.commons.collections4.Bag)	3	1	1
org.apache.commons.collections4.BagUtils	org.apache.commons.collections4.Bag predicatedBag(org.apache.commons.collections4.Bag,org.apache.commons.collections4.Predicate)	3	1	1
org.apache.commons.collections4.BagUtils	org.apache.commons.collections4.Bag transformingBag(org.apache.commons.collections4.Bag,org.apache.commons.collections4.Transformer)	3	1	1
org.apache.commons.collections4.BagUtils	org.apache.commons.collections4.SortedBag synchronizedSortedBag(org.apache.commons.collections4.SortedBag)	2	1	1
org.apache.commons.collections4.BagUtils	org.apache.commons.collections4.SortedBag unmodifiableSortedBag(org.apache.commons.collections4.SortedBag)	3	1	1
org.apache.commons.collections4.BagUtils	org.apache.commons.collections4.SortedBag predicatedSortedBag(org.apache.commons.collections4.SortedBag,org.apache.commons.collections4.Predicate)	3	1	1
org.apache.commons.collections4.BagUtils	org.apache.commons.collections4.SortedBag transformingSortedBag(org.apache.commons.collections4.SortedBag,org.apache.commons.collections4.Transformer)	3	1	1
org.apache.commons.collections4.collection.UnmodifiableCollection	java.util.Iterator iterator()	29	17	10
org.apache.commons.collections4.collection.UnmodifiableCollection	boolean add(java.lang.Object)	4	1	1
org.apache.commons.collections4.collection.UnmodifiableCollection	boolean addAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.collection.TransformedCollection	boolean add(java.lang.Object)	9	3	2
org.apache.commons.collections4.collection.TransformedCollection	boolean addAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.collection.PredicatedCollection	org.apache.commons.collections4.collection.PredicatedCollection$Builder notNullBuilder()	4	4	null
org.apache.commons.collections4.collection.PredicatedCollection	boolean add(java.lang.Object)	12	6	2
org.apache.commons.collections4.collection.PredicatedCollection	boolean addAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.collection.PredicatedCollection$Builder	org.apache.commons.collections4.collection.PredicatedCollection$Builder add(java.lang.Object)	7	4	2
org.apache.commons.collections4.collection.PredicatedCollection$Builder	java.util.List createPredicatedList()	5	5	null
org.apache.commons.collections4.collection.PredicatedCollection$Builder	java.util.Set createPredicatedSet()	2	2	null
org.apache.commons.collections4.collection.PredicatedCollection$Builder	org.apache.commons.collections4.Bag createPredicatedBag()	2	2	null
org.apache.commons.collections4.collection.PredicatedCollection$Builder	java.util.Queue createPredicatedQueue()	2	2	null
org.apache.commons.collections4.collection.IndexedCollection	boolean add(java.lang.Object)	4	1	1
org.apache.commons.collections4.collection.IndexedCollection	boolean addAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.collection.IndexedCollection	boolean contains(java.lang.Object)	21	8	7
org.apache.commons.collections4.collection.SynchronizedCollection	boolean add(java.lang.Object)	12	6	2
org.apache.commons.collections4.collection.SynchronizedCollection	boolean addAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.collection.SynchronizedCollection	boolean contains(java.lang.Object)	30	11	8
org.apache.commons.collections4.collection.SynchronizedCollection	boolean isEmpty()	9	7	2
org.apache.commons.collections4.collection.SynchronizedCollection	java.util.Iterator iterator()	33	21	10
org.apache.commons.collections4.collection.SynchronizedCollection	java.lang.Object[] toArray()	2	2	null
org.apache.commons.collections4.collection.SynchronizedCollection	int size()	27	18	5
org.apache.commons.collections4.collection.CompositeCollection	int size()	16	12	2
org.apache.commons.collections4.collection.CompositeCollection	boolean isEmpty()	5	3	2
org.apache.commons.collections4.collection.CompositeCollection	boolean contains(java.lang.Object)	21	8	7
org.apache.commons.collections4.collection.CompositeCollection	java.util.Iterator iterator()	29	17	10
org.apache.commons.collections4.collection.CompositeCollection	java.lang.Object[] toArray()	2	2	null
org.apache.commons.collections4.collection.CompositeCollection	boolean add(java.lang.Object)	4	1	1
org.apache.commons.collections4.collection.CompositeCollection	boolean addAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.collection.UnmodifiableBoundedCollection	java.util.Iterator iterator()	29	17	10
org.apache.commons.collections4.collection.UnmodifiableBoundedCollection	boolean add(java.lang.Object)	4	1	1
org.apache.commons.collections4.collection.UnmodifiableBoundedCollection	boolean addAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.set.MapBackedSet	int size()	23	15	4
org.apache.commons.collections4.set.MapBackedSet	boolean isEmpty()	8	6	2
org.apache.commons.collections4.set.MapBackedSet	java.util.Iterator iterator()	33	21	10
org.apache.commons.collections4.set.MapBackedSet	boolean contains(java.lang.Object)	29	10	8
org.apache.commons.collections4.set.MapBackedSet	boolean add(java.lang.Object)	8	2	2
org.apache.commons.collections4.set.MapBackedSet	boolean addAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.set.MapBackedSet	java.lang.Object[] toArray()	2	2	null
org.apache.commons.collections4.set.UnmodifiableSortedSet	java.util.Iterator iterator()	33	21	10
org.apache.commons.collections4.set.UnmodifiableSortedSet	boolean add(java.lang.Object)	8	2	2
org.apache.commons.collections4.set.UnmodifiableSortedSet	boolean addAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.set.UnmodifiableSet	java.util.Iterator iterator()	33	21	10
org.apache.commons.collections4.set.UnmodifiableSet	boolean add(java.lang.Object)	8	2	2
org.apache.commons.collections4.set.UnmodifiableSet	boolean addAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.set.UnmodifiableNavigableSet	java.util.Iterator iterator()	33	21	10
org.apache.commons.collections4.set.UnmodifiableNavigableSet	boolean add(java.lang.Object)	8	2	2
org.apache.commons.collections4.set.UnmodifiableNavigableSet	boolean addAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.set.CompositeSet	int size()	23	15	4
org.apache.commons.collections4.set.CompositeSet	boolean isEmpty()	8	6	2
org.apache.commons.collections4.set.CompositeSet	boolean contains(java.lang.Object)	29	10	8
org.apache.commons.collections4.set.CompositeSet	java.util.Iterator iterator()	33	21	10
org.apache.commons.collections4.set.CompositeSet	java.lang.Object[] toArray()	2	2	null
org.apache.commons.collections4.set.CompositeSet	boolean add(java.lang.Object)	8	2	2
org.apache.commons.collections4.set.CompositeSet	boolean addAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.set.ListOrderedSet$OrderedSetIterator	java.lang.Object next()	29	22	4
org.apache.commons.collections4.set.ListOrderedSet$OrderedSetIterator	void remove()	4	3	1
org.apache.commons.collections4.set.ListOrderedSet	boolean add(java.lang.Object)	8	2	2
org.apache.commons.collections4.set.ListOrderedSet	boolean addAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.set.ListOrderedSet	java.lang.Object[] toArray()	2	2	null
