Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
org.apache.commons.io.monitor.FileAlterationMonitor	long getInterval()	4	4	null
org.apache.commons.io.monitor.FileAlterationMonitor	void addObserver(org.apache.commons.io.monitor.FileAlterationObserver)	2	1	1
org.apache.commons.io.monitor.FileAlterationMonitor	void removeObserver(org.apache.commons.io.monitor.FileAlterationObserver)	2	1	1
org.apache.commons.io.monitor.FileAlterationMonitor	java.lang.Iterable getObservers()	5	1	1
org.apache.commons.io.monitor.FileAlterationMonitor	void start()	3	2	1
org.apache.commons.io.monitor.FileAlterationMonitor	void stop()	3	2	1
org.apache.commons.io.monitor.FileAlterationMonitor	void run()	3	2	1
org.apache.commons.io.monitor.FileAlterationObserver	void addListener(org.apache.commons.io.monitor.FileAlterationListener)	2	1	1
org.apache.commons.io.monitor.FileAlterationObserver	void removeListener(org.apache.commons.io.monitor.FileAlterationListener)	2	1	1
org.apache.commons.io.monitor.FileAlterationObserver	java.lang.Iterable getListeners()	4	1	1
org.apache.commons.io.monitor.FileAlterationObserver	java.lang.String toString()	2	1	1
org.apache.commons.io.HexDump	void dump(byte[],long,java.io.OutputStream,int)	7	1	1
org.apache.commons.io.FileCleaningTracker$Reaper	void run()	9	9	null
org.apache.commons.io.input.WindowsLineEndingInputStream	int read()	19	8	5
org.apache.commons.io.input.WindowsLineEndingInputStream	void close()	5	5	null
org.apache.commons.io.input.TaggedInputStream	boolean isCauseOf(java.lang.Throwable)	5	2	2
org.apache.commons.io.input.TaggedInputStream	void throwIfCauseOf(java.lang.Throwable)	5	2	2
org.apache.commons.io.input.TeeInputStream	void close()	5	5	null
org.apache.commons.io.input.TeeInputStream	int read()	19	8	5
org.apache.commons.io.input.TeeInputStream	int read(byte[],int,int)	5	3	2
org.apache.commons.io.input.TeeInputStream	int read(byte[])	6	4	2
org.apache.commons.io.input.DemuxInputStream	void close()	5	5	null
org.apache.commons.io.input.DemuxInputStream	int read()	19	8	5
org.apache.commons.io.input.BoundedInputStream	int read()	25	9	6
org.apache.commons.io.input.BoundedInputStream	int read(byte[])	6	4	2
org.apache.commons.io.input.BoundedInputStream	int read(byte[],int,int)	5	3	2
org.apache.commons.io.input.BoundedInputStream	long skip(long)	2	2	null
org.apache.commons.io.input.BoundedInputStream	void close()	5	5	null
org.apache.commons.io.input.BoundedInputStream	void reset()	2	2	null
org.apache.commons.io.input.NullReader	void close()	7	7	null
org.apache.commons.io.input.NullReader	void mark(int)	2	2	null
org.apache.commons.io.input.NullReader	boolean markSupported()	2	2	null
org.apache.commons.io.input.NullReader	int read()	12	4	4
org.apache.commons.io.input.NullReader	int read(char[])	4	1	1
org.apache.commons.io.input.NullReader	void reset()	4	2	1
org.apache.commons.io.input.NullReader	long skip(long)	4	1	1
org.apache.commons.io.input.ClosedInputStream	int read()	20	9	5
