Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
org.apache.commons.math3.filter.KalmanFilter	int getStateDimension()	2	2	null
org.apache.commons.math3.filter.KalmanFilter	int getMeasurementDimension()	2	2	null
org.apache.commons.math3.filter.KalmanFilter	double[] getStateEstimation()	5	3	2
org.apache.commons.math3.filter.KalmanFilter	double[][] getErrorCovariance()	6	3	3
org.apache.commons.math3.filter.KalmanFilter	void predict(org.apache.commons.math3.linear.RealVector)	2	2	null
org.apache.commons.math3.filter.KalmanFilter	void correct(org.apache.commons.math3.linear.RealVector)	2	2	null
org.apache.commons.math3.fitting.GaussianFitter$ParameterGuesser$1	int compare(java.lang.Object,java.lang.Object)	10	6	2
org.apache.commons.math3.fitting.GaussianFitter$1	double value(double,double[])	6	4	1
org.apache.commons.math3.fitting.GaussianFitter$1	double[] gradient(double,double[])	4	4	null
org.apache.commons.math3.fitting.PolynomialFitter	double[] fit(double[])	4	4	null
org.apache.commons.math3.fitting.CurveFitter	void addObservedPoint(double,double)	22	6	4
org.apache.commons.math3.fitting.CurveFitter	void addObservedPoint(double,double,double)	8	8	null
org.apache.commons.math3.fitting.CurveFitter	double[] fit(org.apache.commons.math3.analysis.ParametricUnivariateFunction,double[])	5	3	2
org.apache.commons.math3.fitting.CurveFitter$TheoreticalValuesFunction$1	double[] value(double[])	2	1	1
org.apache.commons.math3.fitting.GaussianCurveFitter$1	double value(double,double[])	6	4	1
org.apache.commons.math3.fitting.GaussianCurveFitter$1	double[] gradient(double,double[])	4	4	null
org.apache.commons.math3.fitting.GaussianCurveFitter	org.apache.commons.math3.fitting.GaussianCurveFitter create()	12	12	null
org.apache.commons.math3.fitting.GaussianCurveFitter	org.apache.commons.math3.fitting.GaussianCurveFitter withStartPoint(double[])	3	3	null
org.apache.commons.math3.fitting.GaussianCurveFitter	org.apache.commons.math3.fitting.GaussianCurveFitter withMaxIterations(int)	2	2	null
org.apache.commons.math3.fitting.GaussianCurveFitter$ParameterGuesser$1	int compare(java.lang.Object,java.lang.Object)	10	6	2
org.apache.commons.math3.fitting.leastsquares.LeastSquaresFactory$LocalLeastSquaresProblem$UnweightedEvaluation	org.apache.commons.math3.linear.RealMatrix getJacobian()	2	2	null
org.apache.commons.math3.fitting.leastsquares.LeastSquaresFactory$LocalLeastSquaresProblem$UnweightedEvaluation	org.apache.commons.math3.linear.RealVector getPoint()	3	2	1
org.apache.commons.math3.fitting.leastsquares.LeastSquaresFactory$LocalLeastSquaresProblem$UnweightedEvaluation	org.apache.commons.math3.linear.RealVector getResiduals()	3	3	null
org.apache.commons.math3.fitting.leastsquares.LeastSquaresFactory	org.apache.commons.math3.fitting.leastsquares.LeastSquaresProblem create(org.apache.commons.math3.fitting.leastsquares.MultivariateJacobianFunction,org.apache.commons.math3.linear.RealVector,org.apache.commons.math3.linear.RealVector,org.apache.commons.math3.linear.RealMatrix,org.apache.commons.math3.optim.ConvergenceChecker,int,int,boolean,org.apache.commons.math3.fitting.leastsquares.ParameterValidator)	4	3	1
org.apache.commons.math3.fitting.leastsquares.LeastSquaresFactory	org.apache.commons.math3.fitting.leastsquares.MultivariateJacobianFunction model(org.apache.commons.math3.analysis.MultivariateVectorFunction,org.apache.commons.math3.analysis.MultivariateMatrixFunction)	2	2	null
org.apache.commons.math3.fitting.leastsquares.DenseWeightedEvaluation	org.apache.commons.math3.linear.RealMatrix getJacobian()	2	2	null
org.apache.commons.math3.fitting.leastsquares.DenseWeightedEvaluation	org.apache.commons.math3.linear.RealVector getResiduals()	3	3	null
org.apache.commons.math3.fitting.leastsquares.DenseWeightedEvaluation	org.apache.commons.math3.linear.RealVector getPoint()	3	2	1
org.apache.commons.math3.fitting.leastsquares.EvaluationRmsChecker	boolean converged(int,java.lang.Object,java.lang.Object)	4	1	1
org.apache.commons.math3.fitting.leastsquares.LeastSquaresFactory$2	org.apache.commons.math3.fitting.leastsquares.LeastSquaresProblem$Evaluation evaluate(org.apache.commons.math3.linear.RealVector)	11	11	null
org.apache.commons.math3.fitting.leastsquares.LevenbergMarquardtOptimizer	org.apache.commons.math3.fitting.leastsquares.LeastSquaresOptimizer$Optimum optimize(org.apache.commons.math3.fitting.leastsquares.LeastSquaresProblem)	15	14	1
org.apache.commons.math3.fitting.leastsquares.LeastSquaresFactory$1	org.apache.commons.math3.fitting.leastsquares.LeastSquaresProblem$Evaluation evaluate(org.apache.commons.math3.linear.RealVector)	11	11	null
org.apache.commons.math3.fitting.leastsquares.LeastSquaresAdapter	org.apache.commons.math3.linear.RealVector getStart()	3	3	null
org.apache.commons.math3.fitting.leastsquares.LeastSquaresAdapter	int getParameterSize()	2	2	null
org.apache.commons.math3.fitting.leastsquares.LeastSquaresAdapter	org.apache.commons.math3.fitting.leastsquares.LeastSquaresProblem$Evaluation evaluate(org.apache.commons.math3.linear.RealVector)	11	11	null
org.apache.commons.math3.fitting.leastsquares.LeastSquaresBuilder	org.apache.commons.math3.fitting.leastsquares.LeastSquaresProblem build()	24	23	1
org.apache.commons.math3.fitting.leastsquares.LeastSquaresBuilder	org.apache.commons.math3.fitting.leastsquares.LeastSquaresBuilder maxIterations(int)	9	8	1
org.apache.commons.math3.fitting.leastsquares.LeastSquaresBuilder	org.apache.commons.math3.fitting.leastsquares.LeastSquaresBuilder checkerPair(org.apache.commons.math3.optim.ConvergenceChecker)	4	4	null
org.apache.commons.math3.fitting.leastsquares.LeastSquaresBuilder	org.apache.commons.math3.fitting.leastsquares.LeastSquaresBuilder model(org.apache.commons.math3.fitting.leastsquares.MultivariateJacobianFunction)	4	4	null
org.apache.commons.math3.fitting.leastsquares.LeastSquaresBuilder	org.apache.commons.math3.fitting.leastsquares.LeastSquaresBuilder target(org.apache.commons.math3.linear.RealVector)	2	2	null
org.apache.commons.math3.fitting.leastsquares.LeastSquaresBuilder	org.apache.commons.math3.fitting.leastsquares.LeastSquaresBuilder target(double[])	3	3	null
org.apache.commons.math3.fitting.leastsquares.LeastSquaresBuilder	org.apache.commons.math3.fitting.leastsquares.LeastSquaresBuilder start(double[])	12	11	1
org.apache.commons.math3.fitting.leastsquares.LeastSquaresBuilder	org.apache.commons.math3.fitting.leastsquares.LeastSquaresBuilder weight(org.apache.commons.math3.linear.RealMatrix)	6	6	null
org.apache.commons.math3.fitting.leastsquares.OptimumImpl	int getEvaluations()	4	3	1
org.apache.commons.math3.fitting.leastsquares.OptimumImpl	int getIterations()	2	2	null
org.apache.commons.math3.fitting.leastsquares.OptimumImpl	org.apache.commons.math3.linear.RealMatrix getCovariances(double)	4	3	1
