Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
com.google.gson.stream.JsonReader	void setLenient(boolean)	53	46	4
com.google.gson.stream.JsonReader	boolean isLenient()	2	1	1
com.google.gson.stream.JsonReader	void beginArray()	101	79	11
com.google.gson.stream.JsonReader	void endArray()	44	35	5
com.google.gson.stream.JsonReader	void beginObject()	51	41	8
com.google.gson.stream.JsonReader	void endObject()	22	17	4
com.google.gson.stream.JsonReader	boolean hasNext()	2	2	null
com.google.gson.stream.JsonReader	com.google.gson.stream.JsonToken peek()	78	54	7
com.google.gson.stream.JsonReader	java.lang.String nextName()	55	33	20
com.google.gson.stream.JsonReader	java.lang.String nextString()	52	28	6
com.google.gson.stream.JsonReader	boolean nextBoolean()	44	24	14
com.google.gson.stream.JsonReader	void nextNull()	14	6	3
com.google.gson.stream.JsonReader	double nextDouble()	26	12	4
com.google.gson.stream.JsonReader	long nextLong()	11	7	1
com.google.gson.stream.JsonReader	int nextInt()	21	12	5
com.google.gson.stream.JsonReader	void close()	7	5	1
com.google.gson.stream.JsonReader	void skipValue()	42	28	10
com.google.gson.stream.JsonReader	java.lang.String getPath()	70	12	7
com.google.gson.stream.JsonWriter	void setIndent(java.lang.String)	3	3	null
com.google.gson.stream.JsonWriter	void setLenient(boolean)	10	9	1
com.google.gson.stream.JsonWriter	boolean isLenient()	2	1	1
com.google.gson.stream.JsonWriter	void setHtmlSafe(boolean)	2	1	1
com.google.gson.stream.JsonWriter	boolean isHtmlSafe()	2	1	1
com.google.gson.stream.JsonWriter	void setSerializeNulls(boolean)	2	2	null
com.google.gson.stream.JsonWriter	com.google.gson.stream.JsonWriter beginArray()	38	31	7
com.google.gson.stream.JsonWriter	com.google.gson.stream.JsonWriter endArray()	31	27	4
com.google.gson.stream.JsonWriter	com.google.gson.stream.JsonWriter beginObject()	19	16	3
com.google.gson.stream.JsonWriter	com.google.gson.stream.JsonWriter endObject()	15	12	3
com.google.gson.stream.JsonWriter	com.google.gson.stream.JsonWriter name(java.lang.String)	28	13	7
com.google.gson.stream.JsonWriter	com.google.gson.stream.JsonWriter value(java.lang.String)	23	6	1
com.google.gson.stream.JsonWriter	com.google.gson.stream.JsonWriter nullValue()	4	4	null
com.google.gson.stream.JsonWriter	com.google.gson.stream.JsonWriter value(boolean)	14	8	6
com.google.gson.stream.JsonWriter	com.google.gson.stream.JsonWriter value(java.lang.Boolean)	3	1	1
com.google.gson.stream.JsonWriter	com.google.gson.stream.JsonWriter value(double)	26	6	5
com.google.gson.stream.JsonWriter	com.google.gson.stream.JsonWriter value(long)	13	6	4
com.google.gson.stream.JsonWriter	com.google.gson.stream.JsonWriter value(java.lang.Number)	10	3	3
com.google.gson.stream.JsonWriter	void close()	16	11	2
com.google.gson.JsonParser	com.google.gson.JsonElement parse(java.lang.String)	27	27	null
com.google.gson.JsonParser	com.google.gson.JsonElement parse(java.io.Reader)	2	2	null
com.google.gson.JsonStreamParser	com.google.gson.JsonElement next()	13	6	6
com.google.gson.JsonStreamParser	boolean hasNext()	17	9	2
com.google.gson.JsonStreamParser	void remove()	2	2	null
com.google.gson.JsonStreamParser	java.lang.Object next()	15	10	3
com.google.gson.reflect.TypeToken	java.lang.reflect.Type getType()	127	121	5
com.google.gson.reflect.TypeToken	boolean isAssignableFrom(java.lang.Class)	4	1	1
com.google.gson.reflect.TypeToken	boolean isAssignableFrom(java.lang.reflect.Type)	11	3	3
com.google.gson.reflect.TypeToken	com.google.gson.reflect.TypeToken get(java.lang.reflect.Type)	11	3	3
com.google.gson.reflect.TypeToken	com.google.gson.reflect.TypeToken get(java.lang.Class)	4	1	1
com.google.gson.reflect.TypeToken	com.google.gson.reflect.TypeToken getParameterized(java.lang.reflect.Type,java.lang.reflect.Type[])	5	1	1
com.google.gson.reflect.TypeToken	com.google.gson.reflect.TypeToken getArray(java.lang.reflect.Type)	2	1	1
com.google.gson.JsonPrimitive	boolean isBoolean()	2	2	null
com.google.gson.JsonPrimitive	boolean getAsBoolean()	9	4	1
com.google.gson.JsonPrimitive	boolean isNumber()	3	3	null
com.google.gson.JsonPrimitive	boolean isString()	4	3	1
com.google.gson.JsonPrimitive	java.lang.String getAsString()	35	27	7
com.google.gson.JsonPrimitive	double getAsDouble()	3	2	1
com.google.gson.JsonPrimitive	java.math.BigDecimal getAsBigDecimal()	2	2	null
com.google.gson.JsonPrimitive	long getAsLong()	3	3	null
com.google.gson.JsonPrimitive	int getAsInt()	9	7	1
com.google.gson.JsonPrimitive	char getAsCharacter()	3	2	1
com.google.gson.JsonPrimitive	int hashCode()	26	13	13
com.google.gson.JsonPrimitive	boolean equals(java.lang.Object)	7	3	2
com.google.gson.LongSerializationPolicy$2	com.google.gson.JsonElement serialize(java.lang.Long)	2	2	null
com.google.gson.JsonObject	void add(java.lang.String,com.google.gson.JsonElement)	33	16	10
com.google.gson.JsonObject	com.google.gson.JsonElement remove(java.lang.String)	3	3	null
com.google.gson.JsonObject	void addProperty(java.lang.String,java.lang.String)	11	9	2
com.google.gson.JsonObject	void addProperty(java.lang.String,java.lang.Number)	6	5	1
com.google.gson.JsonObject	void addProperty(java.lang.String,java.lang.Boolean)	2	2	null
com.google.gson.JsonObject	java.util.Set entrySet()	4	4	null
com.google.gson.JsonObject	java.util.Set keySet()	3	1	1
com.google.gson.JsonObject	int size()	5	2	1
com.google.gson.JsonObject	boolean has(java.lang.String)	8	7	1
com.google.gson.JsonObject	com.google.gson.JsonElement get(java.lang.String)	47	22	15
com.google.gson.JsonObject	boolean equals(java.lang.Object)	6	1	1
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder setVersion(double)	15	10	3
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder excludeFieldsWithModifiers(int[])	2	2	null
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder generateNonExecutableJson()	3	3	null
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder serializeNulls()	12	11	1
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder enableComplexMapKeySerialization()	9	8	1
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder setLongSerializationPolicy(com.google.gson.LongSerializationPolicy)	6	6	null
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder setFieldNamingPolicy(com.google.gson.FieldNamingPolicy)	10	10	null
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder addSerializationExclusionStrategy(com.google.gson.ExclusionStrategy)	2	2	null
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder addDeserializationExclusionStrategy(com.google.gson.ExclusionStrategy)	2	2	null
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder setPrettyPrinting()	3	2	1
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder disableHtmlEscaping()	3	3	null
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder setDateFormat(java.lang.String)	6	6	null
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder setDateFormat(int)	2	2	null
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder registerTypeAdapter(java.lang.reflect.Type,java.lang.Object)	89	70	13
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder registerTypeHierarchyAdapter(java.lang.Class,java.lang.Object)	16	10	5
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder serializeSpecialFloatingPointValues()	7	7	null
com.google.gson.GsonBuilder	com.google.gson.Gson create()	182	168	10
com.google.gson.internal.LinkedHashTreeMap$KeySet	int size()	9	9	null
com.google.gson.internal.LinkedHashTreeMap$KeySet	java.util.Iterator iterator()	7	6	1
com.google.gson.internal.LinkedHashTreeMap$KeySet	boolean contains(java.lang.Object)	10	5	5
com.google.gson.internal.LinkedHashTreeMap$EntrySet$1	java.lang.Object next()	15	10	3
com.google.gson.internal.LinkedTreeMap$EntrySet$1	java.lang.Object next()	15	10	3
com.google.gson.internal.$Gson$Types	java.lang.reflect.ParameterizedType newParameterizedTypeWithOwner(java.lang.reflect.Type,java.lang.reflect.Type,java.lang.reflect.Type[])	6	3	1
com.google.gson.internal.$Gson$Types	java.lang.reflect.WildcardType subtypeOf(java.lang.reflect.Type)	7	3	3
com.google.gson.internal.$Gson$Types	java.lang.reflect.WildcardType supertypeOf(java.lang.reflect.Type)	5	3	1
com.google.gson.internal.UnsafeAllocator$1	java.lang.Object newInstance(java.lang.Class)	3	3	null
com.google.gson.internal.LinkedHashTreeMap$EntrySet	int size()	9	9	null
com.google.gson.internal.LinkedHashTreeMap$EntrySet	java.util.Iterator iterator()	7	6	1
com.google.gson.internal.LinkedHashTreeMap$EntrySet	boolean contains(java.lang.Object)	10	5	5
com.google.gson.internal.LazilyParsedNumber	int hashCode()	2	1	1
com.google.gson.internal.LinkedTreeMap$EntrySet	int size()	9	9	null
