Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
com.fasterxml.jackson.annotation.JsonInclude$Value	com.fasterxml.jackson.'annotation'.JsonInclude$Value empty()	4	3	1
com.fasterxml.jackson.annotation.JsonInclude$Value	com.fasterxml.jackson.'annotation'.JsonInclude$Value withOverrides(com.fasterxml.jackson.'annotation'.JsonInclude$Value)	3	2	1
com.fasterxml.jackson.annotation.JsonInclude$Value	com.fasterxml.jackson.'annotation'.JsonInclude$Value construct(com.fasterxml.jackson.'annotation'.JsonInclude$Include,com.fasterxml.jackson.'annotation'.JsonInclude$Include)	4	2	1
com.fasterxml.jackson.annotation.JsonInclude$Value	com.fasterxml.jackson.'annotation'.JsonInclude$Value 'from'(com.fasterxml.jackson.'annotation'.JsonInclude)	2	2	null
com.fasterxml.jackson.annotation.JsonInclude$Value	com.fasterxml.jackson.'annotation'.JsonInclude$Value withValueInclusion(com.fasterxml.jackson.'annotation'.JsonInclude$Include)	3	2	1
com.fasterxml.jackson.annotation.JsonInclude$Value	com.fasterxml.jackson.'annotation'.JsonInclude$Value withValueFilter(java.lang.Class)	3	1	1
com.fasterxml.jackson.annotation.JsonInclude$Value	com.fasterxml.jackson.'annotation'.JsonInclude$Value withContentFilter(java.lang.Class)	3	1	1
com.fasterxml.jackson.annotation.JsonInclude$Value	com.fasterxml.jackson.'annotation'.JsonInclude$Value withContentInclusion(com.fasterxml.jackson.'annotation'.JsonInclude$Include)	2	1	1
com.fasterxml.jackson.annotation.JsonInclude$Value	com.fasterxml.jackson.'annotation'.JsonInclude$Include getValueInclusion()	14	5	2
com.fasterxml.jackson.annotation.JsonInclude$Value	com.fasterxml.jackson.'annotation'.JsonInclude$Include getContentInclusion()	14	5	2
com.fasterxml.jackson.annotation.JsonInclude$Value	java.lang.Class getValueFilter()	5	2	1
com.fasterxml.jackson.annotation.JsonInclude$Value	java.lang.Class getContentFilter()	5	2	1
com.fasterxml.jackson.annotation.JsonInclude$Value	java.lang.String toString()	2	2	null
com.fasterxml.jackson.annotation.JsonInclude$Value	boolean equals(java.lang.Object)	9	2	2
com.fasterxml.jackson.annotation.JsonIgnoreProperties$Value	com.fasterxml.jackson.'annotation'.JsonIgnoreProperties$Value 'from'(com.fasterxml.jackson.'annotation'.JsonIgnoreProperties)	2	2	null
com.fasterxml.jackson.annotation.JsonIgnoreProperties$Value	com.fasterxml.jackson.'annotation'.JsonIgnoreProperties$Value forIgnoredProperties(java.lang.String[])	2	1	1
com.fasterxml.jackson.annotation.JsonIgnoreProperties$Value	com.fasterxml.jackson.'annotation'.JsonIgnoreProperties$Value withOverrides(com.fasterxml.jackson.'annotation'.JsonIgnoreProperties$Value)	3	1	1
com.fasterxml.jackson.annotation.JsonIgnoreProperties$Value	com.fasterxml.jackson.'annotation'.JsonIgnoreProperties$Value withIgnored(java.util.Set)	2	1	1
com.fasterxml.jackson.annotation.JsonIgnoreProperties$Value	com.fasterxml.jackson.'annotation'.JsonIgnoreProperties$Value withIgnored(java.lang.String[])	5	3	1
com.fasterxml.jackson.annotation.JsonIgnoreProperties$Value	com.fasterxml.jackson.'annotation'.JsonIgnoreProperties$Value withIgnoreUnknown()	2	2	null
com.fasterxml.jackson.annotation.JsonIgnoreProperties$Value	com.fasterxml.jackson.'annotation'.JsonIgnoreProperties$Value withAllowGetters()	3	3	null
com.fasterxml.jackson.annotation.JsonIgnoreProperties$Value	com.fasterxml.jackson.'annotation'.JsonIgnoreProperties$Value withAllowSetters()	3	3	null
com.fasterxml.jackson.annotation.JsonIgnoreProperties$Value	com.fasterxml.jackson.'annotation'.JsonIgnoreProperties$Value withMerge()	4	4	null
com.fasterxml.jackson.annotation.JsonIgnoreProperties$Value	com.fasterxml.jackson.'annotation'.JsonIgnoreProperties$Value withoutMerge()	3	3	null
com.fasterxml.jackson.annotation.JsonIgnoreProperties$Value	java.util.Set getIgnored()	12	6	4
com.fasterxml.jackson.annotation.JsonIgnoreProperties$Value	java.util.Set findIgnoredForSerialization()	2	1	1
