Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
com.fasterxml.classmate.util.ClassKey	int compareTo(com.fasterxml.classmate.util.ClassKey)	3	1	1
com.fasterxml.classmate.util.LRUTypeCache	void put(com.fasterxml.classmate.util.ResolvedTypeKey,com.fasterxml.classmate.ResolvedType)	2	1	1
com.fasterxml.classmate.util.ConcurrentTypeCache	void put(com.fasterxml.classmate.util.ResolvedTypeKey,com.fasterxml.classmate.ResolvedType)	2	1	1
com.fasterxml.classmate.MemberResolver	com.fasterxml.classmate.MemberResolver setIncludeLangObject(boolean)	6	2	2
com.fasterxml.classmate.MemberResolver	com.fasterxml.classmate.MemberResolver setFieldFilter(com.fasterxml.classmate.Filter)	2	2	null
com.fasterxml.classmate.MemberResolver	com.fasterxml.classmate.MemberResolver setMethodFilter(com.fasterxml.classmate.Filter)	16	15	1
com.fasterxml.classmate.MemberResolver	com.fasterxml.classmate.ResolvedTypeWithMembers resolve(com.fasterxml.classmate.ResolvedType,com.fasterxml.classmate.AnnotationConfiguration,com.fasterxml.classmate.AnnotationOverrides)	47	40	5
com.fasterxml.classmate.ResolvedTypeWithMembers	int size()	2	1	1
com.fasterxml.classmate.ResolvedTypeWithMembers	java.util.List allTypesAndOverrides()	3	2	1
com.fasterxml.classmate.ResolvedTypeWithMembers	java.util.List mainTypeAndOverrides()	2	1	1
com.fasterxml.classmate.ResolvedTypeWithMembers	com.fasterxml.classmate.members.ResolvedMethod[] getStaticMethods()	6	6	null
com.fasterxml.classmate.ResolvedTypeWithMembers	com.fasterxml.classmate.members.ResolvedField[] getMemberFields()	17	13	2
com.fasterxml.classmate.ResolvedTypeWithMembers	com.fasterxml.classmate.members.ResolvedMethod[] getMemberMethods()	34	29	3
com.fasterxml.classmate.ResolvedTypeWithMembers	com.fasterxml.classmate.members.ResolvedConstructor[] getConstructors()	10	7	1
com.fasterxml.classmate.ResolvedTypeWithMembers	com.fasterxml.classmate.members.ResolvedConstructor[] resolveConstructors()	3	1	1
com.fasterxml.classmate.ResolvedTypeWithMembers	com.fasterxml.classmate.members.ResolvedField[] resolveMemberFields()	3	1	1
com.fasterxml.classmate.ResolvedTypeWithMembers	com.fasterxml.classmate.members.ResolvedMethod[] resolveMemberMethods()	5	1	1
com.fasterxml.classmate.ResolvedTypeWithMembers	com.fasterxml.classmate.members.ResolvedMethod[] resolveStaticMethods()	3	1	1
com.fasterxml.classmate.TypeResolver	com.fasterxml.classmate.ResolvedType resolve(java.lang.reflect.Type,java.lang.reflect.Type[])	126	79	28
com.fasterxml.classmate.TypeResolver	com.fasterxml.classmate.ResolvedType resolve(com.fasterxml.classmate.TypeBindings,java.lang.reflect.Type)	4	3	1
com.fasterxml.classmate.TypeResolver	com.fasterxml.classmate.ResolvedType resolveSubtype(com.fasterxml.classmate.ResolvedType,java.lang.Class)	18	13	3
com.fasterxml.classmate.TypeResolver	boolean isSelfReference(com.fasterxml.classmate.ResolvedType)	3	1	1
com.fasterxml.classmate.Annotations	void add(java.lang.'annotation'.Annotation)	3	2	1
com.fasterxml.classmate.Annotations	void addAsDefault(java.lang.'annotation'.Annotation)	6	3	3
com.fasterxml.classmate.Annotations	int size()	4	2	1
com.fasterxml.classmate.Annotations	java.lang.'annotation'.Annotation get(java.lang.Class)	13	4	4
com.fasterxml.classmate.AnnotationOverrides$StdBuilder	com.fasterxml.classmate.AnnotationOverrides$StdBuilder add(java.lang.Class,java.lang.Class)	6	5	1
com.fasterxml.classmate.AnnotationOverrides$StdBuilder	com.fasterxml.classmate.AnnotationOverrides build()	6	5	1
com.fasterxml.classmate.AnnotationConfiguration$StdConfiguration	com.fasterxml.classmate.AnnotationInclusion getInclusionForClass(java.lang.Class)	9	4	4
com.fasterxml.classmate.AnnotationConfiguration$StdConfiguration	com.fasterxml.classmate.AnnotationInclusion getInclusionForConstructor(java.lang.Class)	3	1	1
com.fasterxml.classmate.AnnotationConfiguration$StdConfiguration	com.fasterxml.classmate.AnnotationInclusion getInclusionForField(java.lang.Class)	3	1	1
com.fasterxml.classmate.AnnotationConfiguration$StdConfiguration	com.fasterxml.classmate.AnnotationInclusion getInclusionForMethod(java.lang.Class)	3	1	1
com.fasterxml.classmate.AnnotationConfiguration$StdConfiguration	void setInclusion(java.lang.Class,com.fasterxml.classmate.AnnotationInclusion)	4	4	null
com.fasterxml.classmate.types.TypePlaceHolder	com.fasterxml.classmate.ResolvedType getParentClass()	5	5	null
com.fasterxml.classmate.types.TypePlaceHolder	com.fasterxml.classmate.ResolvedType getSelfReferencedType()	2	2	null
com.fasterxml.classmate.types.TypePlaceHolder	java.util.List getImplementedInterfaces()	2	2	null
com.fasterxml.classmate.types.TypePlaceHolder	com.fasterxml.classmate.ResolvedType getArrayElementType()	3	2	1
com.fasterxml.classmate.types.TypePlaceHolder	boolean isInterface()	3	2	1
com.fasterxml.classmate.types.TypePlaceHolder	boolean isAbstract()	3	2	1
com.fasterxml.classmate.types.TypePlaceHolder	boolean isArray()	3	2	1
com.fasterxml.classmate.types.TypePlaceHolder	boolean isPrimitive()	3	3	null
com.fasterxml.classmate.types.TypePlaceHolder	java.lang.StringBuilder appendSignature(java.lang.StringBuilder)	2	1	1
com.fasterxml.classmate.types.TypePlaceHolder	java.lang.StringBuilder appendErasedSignature(java.lang.StringBuilder)	2	1	1
com.fasterxml.classmate.types.TypePlaceHolder	java.lang.StringBuilder appendBriefDescription(java.lang.StringBuilder)	6	1	1
com.fasterxml.classmate.types.TypePlaceHolder	java.lang.StringBuilder appendFullDescription(java.lang.StringBuilder)	6	1	1
com.fasterxml.classmate.types.ResolvedPrimitiveType	com.fasterxml.classmate.ResolvedType getParentClass()	4	4	null
com.fasterxml.classmate.types.ResolvedPrimitiveType	boolean isInterface()	2	1	1
