Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
org.jsoup.nodes.TextNode	java.lang.String nodeName()	4	3	1
org.jsoup.nodes.TextNode	java.lang.String text()	9	5	2
org.jsoup.nodes.TextNode	org.jsoup.nodes.TextNode text(java.lang.String)	5	4	1
org.jsoup.nodes.TextNode	java.lang.String getWholeText()	6	4	2
org.jsoup.nodes.TextNode	boolean isBlank()	5	1	1
org.jsoup.nodes.TextNode	org.jsoup.nodes.TextNode splitText(int)	3	3	null
org.jsoup.nodes.Attribute	java.lang.String html()	4	2	2
org.jsoup.nodes.Entities	java.lang.String getByName(java.lang.String)	4	1	1
org.jsoup.nodes.Entities	java.lang.String escape(java.lang.String,org.jsoup.nodes.Document$OutputSettings)	12	5	3
org.jsoup.nodes.Entities	java.lang.String unescape(java.lang.String)	15	9	3
org.jsoup.nodes.Entities	java.lang.String unescape(java.lang.String,boolean)	2	1	1
org.jsoup.nodes.XmlDeclaration	java.lang.String nodeName()	4	3	1
org.jsoup.nodes.Element	java.lang.String nodeName()	4	3	1
org.jsoup.nodes.Element	java.lang.String tagName()	64	30	18
org.jsoup.nodes.Element	org.jsoup.parser.Tag tag()	2	1	1
org.jsoup.nodes.Element	java.lang.String id()	65	26	18
org.jsoup.nodes.Element	org.jsoup.nodes.Element attr(java.lang.String,java.lang.String)	3	3	null
org.jsoup.nodes.Element	org.jsoup.nodes.Element attr(java.lang.String,boolean)	2	1	1
org.jsoup.nodes.Element	java.util.Map dataset()	2	1	1
org.jsoup.nodes.Element	org.jsoup.nodes.Element parent()	9	5	3
org.jsoup.nodes.Element	org.jsoup.nodes.Element child(int)	13	8	4
org.jsoup.nodes.Element	org.jsoup.select.Elements children()	11	7	1
org.jsoup.nodes.Element	java.util.List textNodes()	5	3	2
org.jsoup.nodes.Element	java.util.List dataNodes()	3	1	1
org.jsoup.nodes.Element	org.jsoup.select.Elements select(java.lang.String)	434	236	90
org.jsoup.nodes.Element	org.jsoup.nodes.Element appendChild(org.jsoup.nodes.Node)	2	2	null
org.jsoup.nodes.Element	org.jsoup.nodes.Element insertChildren(int,java.util.Collection)	9	6	2
org.jsoup.nodes.Element	org.jsoup.nodes.Element appendElement(java.lang.String)	7	2	2
org.jsoup.nodes.Element	org.jsoup.nodes.Element appendText(java.lang.String)	4	4	null
org.jsoup.nodes.Element	org.jsoup.nodes.Element prependText(java.lang.String)	2	2	null
org.jsoup.nodes.Element	org.jsoup.nodes.Element append(java.lang.String)	4	4	null
org.jsoup.nodes.Element	org.jsoup.nodes.Element prepend(java.lang.String)	2	2	null
org.jsoup.nodes.Element	org.jsoup.nodes.Element before(java.lang.String)	3	2	1
org.jsoup.nodes.Element	org.jsoup.nodes.Element after(java.lang.String)	3	2	1
org.jsoup.nodes.Element	org.jsoup.nodes.Element wrap(java.lang.String)	3	2	1
org.jsoup.nodes.Element	java.lang.String cssSelector()	7	2	1
org.jsoup.nodes.Element	org.jsoup.select.Elements siblingElements()	2	2	null
org.jsoup.nodes.Element	org.jsoup.nodes.Element nextElementSibling()	9	4	1
org.jsoup.nodes.Element	org.jsoup.nodes.Element previousElementSibling()	3	3	null
org.jsoup.nodes.Element	org.jsoup.nodes.Element firstElementSibling()	2	2	null
org.jsoup.nodes.Element	java.lang.Integer elementSiblingIndex()	6	2	2
org.jsoup.nodes.Element	org.jsoup.nodes.Element lastElementSibling()	2	2	null
org.jsoup.nodes.Element	org.jsoup.select.Elements getElementsByTag(java.lang.String)	18	13	2
org.jsoup.nodes.Element	org.jsoup.nodes.Element getElementById(java.lang.String)	21	17	2
org.jsoup.nodes.Element	org.jsoup.select.Elements getElementsByClass(java.lang.String)	7	5	1
org.jsoup.nodes.Element	org.jsoup.select.Elements getElementsByAttribute(java.lang.String)	3	2	1
org.jsoup.nodes.Element	org.jsoup.select.Elements getElementsByAttributeValue(java.lang.String,java.lang.String)	2	1	1
org.jsoup.nodes.Element	java.lang.String text()	135	76	31
org.jsoup.nodes.Element	java.lang.String ownText()	3	3	null
org.jsoup.nodes.Element	org.jsoup.nodes.Element text(java.lang.String)	11	9	2
org.jsoup.nodes.Element	boolean hasText()	3	1	1
org.jsoup.nodes.Element	java.lang.String data()	24	5	3
org.jsoup.nodes.Element	java.lang.String className()	12	5	5
org.jsoup.nodes.Element	java.util.Set classNames()	7	3	3
org.jsoup.nodes.Element	boolean hasClass(java.lang.String)	20	4	3
org.jsoup.nodes.Element	org.jsoup.nodes.Element removeClass(java.lang.String)	3	2	1
org.jsoup.nodes.Element	org.jsoup.nodes.Element toggleClass(java.lang.String)	2	1	1
org.jsoup.nodes.Element	java.lang.String val()	4	2	1
org.jsoup.nodes.Element	java.lang.String html()	144	120	20
org.jsoup.nodes.Element	org.jsoup.nodes.Element html(java.lang.String)	6	4	1
org.jsoup.nodes.Element	org.jsoup.nodes.Element clone()	2	2	null
org.jsoup.nodes.Comment	java.lang.String nodeName()	4	3	1
org.jsoup.nodes.Comment	java.lang.String getData()	2	2	null
org.jsoup.nodes.DataNode	java.lang.String nodeName()	4	3	1
org.jsoup.nodes.DataNode	java.lang.String getWholeData()	2	1	1
org.jsoup.nodes.Attributes	java.lang.String get(java.lang.String)	12	4	3
org.jsoup.nodes.Attributes	java.lang.String getIgnoreCase(java.lang.String)	2	1	1
org.jsoup.nodes.Attributes	void put(java.lang.String,java.lang.String)	23	6	5
org.jsoup.nodes.Attributes	boolean hasKey(java.lang.String)	5	2	1
org.jsoup.nodes.Attributes	int size()	7	7	null
org.jsoup.nodes.Attributes	java.util.Iterator iterator()	4	3	1
org.jsoup.nodes.Attributes	java.util.List asList()	2	2	null
org.jsoup.nodes.Attributes	java.util.Map dataset()	2	1	1
org.jsoup.nodes.Attributes	java.lang.String html()	2	1	1
org.jsoup.nodes.Document	org.jsoup.nodes.Document createShell(java.lang.String)	3	3	null
org.jsoup.nodes.Document	java.lang.String location()	5	4	1
org.jsoup.nodes.Document	org.jsoup.nodes.Element head()	4	4	null
org.jsoup.nodes.Document	org.jsoup.nodes.Element body()	95	85	8
org.jsoup.nodes.Document	java.lang.String title()	35	21	4
org.jsoup.nodes.Document	void title(java.lang.String)	3	2	1
org.jsoup.nodes.Document	java.lang.String outerHtml()	36	29	6
org.jsoup.nodes.Document	org.jsoup.nodes.Element text(java.lang.String)	12	10	2
org.jsoup.nodes.Document	java.lang.String nodeName()	4	3	1
org.jsoup.nodes.Document	void charset(java.nio.charset.Charset)	9	9	null
org.jsoup.nodes.Document	java.nio.charset.Charset charset()	12	6	5
org.jsoup.nodes.Document	void updateMetaCharsetElement(boolean)	7	7	null
org.jsoup.nodes.Document	org.jsoup.nodes.Document clone()	4	4	null
org.jsoup.nodes.Document	org.jsoup.nodes.Document$OutputSettings outputSettings()	39	28	7
org.jsoup.nodes.Document	org.jsoup.nodes.Element clone()	2	2	null
org.jsoup.nodes.Attributes$Dataset$EntrySet	int size()	5	3	2
org.jsoup.nodes.FormElement	org.jsoup.select.Elements elements()	5	5	null
org.jsoup.nodes.FormElement	org.jsoup.Connection submit()	5	4	1
org.jsoup.nodes.FormElement	java.util.List formData()	4	4	null
org.jsoup.nodes.DocumentType	java.lang.String nodeName()	4	3	1
org.jsoup.nodes.Attributes$Dataset$DatasetIterator	boolean hasNext()	4	3	1
org.jsoup.nodes.Attributes$Dataset$DatasetIterator	java.lang.Object next()	3	3	null
org.jsoup.nodes.Document$OutputSettings	org.jsoup.nodes.Document$OutputSettings escapeMode(org.jsoup.nodes.Entities$EscapeMode)	20	11	5
org.jsoup.nodes.Document$OutputSettings	java.nio.charset.Charset charset()	15	12	2
org.jsoup.nodes.Document$OutputSettings	org.jsoup.nodes.Document$OutputSettings charset(java.lang.String)	19	10	5
org.jsoup.nodes.Document$OutputSettings	org.jsoup.nodes.Document$OutputSettings$Syntax syntax()	2	2	null
org.jsoup.nodes.Document$OutputSettings	org.jsoup.nodes.Document$OutputSettings syntax(org.jsoup.nodes.Document$OutputSettings$Syntax)	3	2	1
org.jsoup.nodes.Document$OutputSettings	org.jsoup.nodes.Document$OutputSettings prettyPrint(boolean)	6	6	null
org.jsoup.nodes.Document$OutputSettings	org.jsoup.nodes.Document$OutputSettings indentAmount(int)	3	3	null
org.jsoup.nodes.Entities$EscapeMode	int codepointForName(java.lang.String)	4	1	1
org.jsoup.nodes.Entities$EscapeMode	java.lang.String nameForCodepoint(int)	4	1	1
org.jsoup.safety.Whitelist	org.jsoup.safety.Whitelist simpleText()	2	2	null
org.jsoup.safety.Whitelist	org.jsoup.safety.Whitelist basic()	12	8	2
org.jsoup.safety.Whitelist	org.jsoup.safety.Whitelist basicWithImages()	6	5	1
org.jsoup.safety.Whitelist	org.jsoup.safety.Whitelist relaxed()	14	10	2
org.jsoup.safety.Whitelist	org.jsoup.safety.Whitelist addTags(java.lang.String[])	2	2	null
org.jsoup.safety.Whitelist	org.jsoup.safety.Whitelist addAttributes(java.lang.String,java.lang.String[])	3	2	1
org.jsoup.safety.Whitelist	org.jsoup.safety.Whitelist addProtocols(java.lang.String,java.lang.String,java.lang.String[])	2	2	null
org.jsoup.select.CombiningEvaluator$And	java.lang.String toString()	2	1	1
org.jsoup.select.QueryParser	org.jsoup.select.Evaluator parse(java.lang.String)	2	2	null
org.jsoup.select.Elements	java.lang.String attr(java.lang.String)	8	6	1
org.jsoup.select.Elements	boolean hasAttr(java.lang.String)	7	3	3
org.jsoup.select.Elements	org.jsoup.select.Elements attr(java.lang.String,java.lang.String)	3	2	1
org.jsoup.select.Elements	boolean hasClass(java.lang.String)	2	1	1
org.jsoup.select.Elements	java.lang.String val()	2	2	null
org.jsoup.select.Elements	java.lang.String text()	19	15	3
org.jsoup.select.Elements	boolean hasText()	2	1	1
org.jsoup.select.Elements	java.lang.String outerHtml()	6	4	2
org.jsoup.select.Elements	org.jsoup.select.Elements wrap(java.lang.String)	2	2	null
org.jsoup.select.Elements	org.jsoup.select.Elements unwrap()	3	3	null
org.jsoup.select.Elements	org.jsoup.select.Elements select(java.lang.String)	4	4	null
org.jsoup.select.Elements	org.jsoup.select.Elements not(java.lang.String)	2	1	1
org.jsoup.select.Elements	boolean is(java.lang.String)	2	1	1
org.jsoup.select.Elements	org.jsoup.nodes.Element first()	210	131	42
org.jsoup.select.Elements	org.jsoup.nodes.Element last()	28	15	7
org.jsoup.select.Elements	java.util.List forms()	2	2	null
org.jsoup.helper.DataUtil	org.jsoup.nodes.Document parseByteData(java.nio.ByteBuffer,java.lang.String,java.lang.String,org.jsoup.parser.Parser)	3	3	null
org.jsoup.helper.DataUtil	java.lang.String getCharsetFromContentType(java.lang.String)	16	6	3
org.jsoup.helper.DataUtil	java.lang.String mimeBoundary()	2	1	1
org.jsoup.helper.HttpConnection$Request	java.util.Collection data()	2	2	null
org.jsoup.helper.HttpConnection$Request	org.jsoup.parser.Parser parser()	2	2	null
org.jsoup.helper.HttpConnection$Request	java.lang.String header(java.lang.String)	5	3	1
org.jsoup.helper.HttpConnection$Request	org.jsoup.Connection$Method method()	4	2	2
