Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
com.helger.commons.timing.StopWatch	com.helger.commons.state.EChange reset()	2	1	1
com.helger.commons.timing.StopWatch	com.helger.commons.state.EChange start()	4	1	1
com.helger.commons.timing.StopWatch	com.helger.commons.state.EChange stop()	5	4	1
com.helger.commons.timing.StopWatch	boolean isStarted()	6	1	1
com.helger.commons.timing.StopWatch	long getNanos()	4	1	1
com.helger.commons.timing.StopWatch	long getMillis()	4	4	null
com.helger.commons.timing.StopWatch	long stopAndGetMillis()	2	2	null
com.helger.commons.timing.StopWatch	java.lang.String toString()	5	2	1
com.helger.commons.timing.StopWatch	com.helger.commons.timing.StopWatch createdStarted()	5	5	null
com.helger.commons.collection.IteratorHelper	boolean isEmpty(java.util.Iterator)	5	1	1
com.helger.commons.collection.IteratorHelper	boolean isEmpty(com.helger.commons.collection.iterate.IIterableIterator)	4	1	1
com.helger.commons.collection.IteratorHelper	boolean isEmpty(java.util.Enumeration)	4	1	1
com.helger.commons.collection.IteratorHelper	int getSize(com.helger.commons.collection.iterate.IIterableIterator)	3	1	1
com.helger.commons.collection.IteratorHelper	int getSize(java.util.Iterator)	3	1	1
com.helger.commons.collection.IteratorHelper	com.helger.commons.collection.iterate.IIterableIterator getIterator(java.util.Enumeration)	2	1	1
com.helger.commons.collection.IteratorHelper	java.util.Iterator getIterator(java.lang.Iterable)	3	1	1
com.helger.commons.collection.IteratorHelper	java.util.Iterator getIterator(java.util.Iterator)	3	1	1
com.helger.commons.collection.IteratorHelper	java.util.Iterator getIterator(java.lang.Object[])	9	2	2
com.helger.commons.collection.IteratorHelper	java.util.Iterator getReverseIterator(java.util.List)	3	1	1
com.helger.commons.collection.IteratorHelper	java.util.Enumeration getEnumeration(java.lang.Iterable)	47	5	5
com.helger.commons.collection.IteratorHelper	java.util.Enumeration getEnumeration(java.lang.Object[])	3	2	1
com.helger.commons.collection.IteratorHelper	java.util.Enumeration getEnumeration(java.util.Iterator)	2	1	1
com.helger.commons.collection.map.LRUMap	int getMaxSize()	2	1	1
com.helger.commons.collection.map.LRUMap	java.lang.String toString()	4	1	1
com.helger.commons.collection.map.LoggingLRUMap	java.lang.String getMapName()	2	1	1
com.helger.commons.collection.map.LoggingLRUMap	com.helger.commons.collection.map.LoggingLRUMap setMapName(java.lang.String)	4	1	1
com.helger.commons.collection.map.LoggingLRUMap	java.lang.String toString()	4	1	1
com.helger.commons.collection.map.AbstractSoftMap$SoftEntrySet	boolean containsAll(java.util.Collection)	6	3	3
com.helger.commons.collection.map.AbstractSoftMap$SoftEntrySet	boolean isEmpty()	10	9	1
com.helger.commons.collection.map.AbstractSoftMap$SoftEntrySet	java.util.Iterator iterator()	13	10	3
com.helger.commons.collection.map.AbstractSoftMap$SoftEntrySet	int size()	4	4	null
com.helger.commons.collection.map.AbstractSoftMap$SoftEntrySet	java.lang.Object[] toArray()	2	2	null
com.helger.commons.collection.map.AbstractSoftMap$SoftEntrySet	java.lang.Object[] toArray(java.lang.Object[])	6	2	2
com.helger.commons.collection.map.AbstractSoftMap$SoftMapEntry	java.lang.Object getKey()	16	5	2
com.helger.commons.collection.map.AbstractSoftMap$SoftMapEntry	java.lang.Object getValue()	12	5	2
com.helger.commons.collection.map.MapEntry	java.lang.Object getKey()	17	6	2
com.helger.commons.collection.map.MapEntry	java.lang.Object getValue()	14	6	3
com.helger.commons.collection.map.MapEntry	int hashCode()	2	1	1
com.helger.commons.collection.map.MapEntry	java.lang.String toString()	5	2	1
com.helger.commons.collection.map.LRUSet	boolean add(java.lang.Object)	4	1	1
com.helger.commons.collection.map.LRUSet	java.util.Iterator iterator()	26	21	5
com.helger.commons.collection.map.LRUSet	int size()	47	22	8
com.helger.commons.collection.map.LRUSet	java.lang.String toString()	5	2	1
com.helger.commons.collection.map.AbstractSoftMap$SoftEntrySet$SoftIterator	boolean hasNext()	91	41	17
com.helger.commons.collection.map.AbstractSoftMap$SoftEntrySet$SoftIterator	void remove()	3	3	null
com.helger.commons.collection.map.AbstractSoftMap$SoftEntrySet$SoftIterator	java.lang.Object next()	83	36	14
com.helger.commons.collection.attr.AttributeContainerConcurrent	boolean containsKey(java.lang.Object)	5	2	1
com.helger.commons.collection.attr.AttributeContainerConcurrent	java.lang.String toString()	4	1	1
com.helger.commons.collection.attr.StringMap	com.helger.commons.collection.attr.StringMap add(java.lang.String,java.lang.String)	11	3	2
com.helger.commons.collection.attr.AttributeContainer	java.lang.String toString()	4	1	1
com.helger.commons.collection.iterate.MapperIterator	boolean hasNext()	108	45	21
com.helger.commons.collection.iterate.MapperIterator	java.lang.Object next()	95	40	18
com.helger.commons.collection.iterate.MapperIterator	void remove()	5	5	null
com.helger.commons.collection.iterate.MapperIterator	java.lang.String toString()	4	1	1
com.helger.commons.collection.iterate.FilterIterator	boolean hasNext()	118	46	22
com.helger.commons.collection.iterate.FilterIterator	java.lang.Object next()	112	44	22
com.helger.commons.collection.iterate.FilterIterator	void remove()	4	4	null
com.helger.commons.collection.iterate.FilterIterator	java.lang.String toString()	4	1	1
com.helger.commons.collection.iterate.EnumerationFromIterator	boolean hasMoreElements()	7	1	1
com.helger.commons.collection.iterate.EnumerationFromIterator	java.lang.Object nextElement()	4	1	1
com.helger.commons.collection.iterate.EnumerationFromIterator	java.lang.String toString()	4	1	1
com.helger.commons.collection.iterate.IterableIteratorFromEnumeration	boolean hasNext()	105	44	20
com.helger.commons.collection.iterate.IterableIteratorFromEnumeration	java.lang.Object next()	92	39	17
com.helger.commons.collection.iterate.IterableIteratorFromEnumeration	java.lang.String toString()	4	1	1
com.helger.commons.collection.iterate.ArrayIterator	boolean hasNext()	110	45	21
com.helger.commons.collection.iterate.ArrayIterator	java.lang.Object next()	98	41	18
com.helger.commons.collection.iterate.ArrayIterator	java.lang.String toString()	4	1	1
com.helger.commons.collection.iterate.EmptyIterator	boolean hasNext()	92	42	17
com.helger.commons.collection.iterate.EmptyIterator	java.lang.Object next()	84	37	14
com.helger.commons.collection.iterate.EmptyIterator	java.lang.String toString()	4	1	1
com.helger.commons.collection.iterate.EmptyEnumeration	boolean hasMoreElements()	8	2	1
com.helger.commons.collection.iterate.EmptyEnumeration	java.lang.Object nextElement()	5	2	1
com.helger.commons.collection.iterate.EmptyEnumeration	java.lang.String toString()	4	1	1
com.helger.commons.collection.iterate.CombinedIterator	boolean hasNext()	91	41	17
com.helger.commons.collection.iterate.CombinedIterator	java.lang.Object next()	83	36	14
com.helger.commons.collection.iterate.CombinedIterator	void remove()	3	3	null
com.helger.commons.collection.iterate.CombinedIterator	java.lang.String toString()	4	1	1
com.helger.commons.collection.iterate.CombinedIterator	java.util.Iterator create(java.util.Iterator,java.util.Iterator)	7	1	1
com.helger.commons.collection.iterate.ReverseListIterator	boolean hasNext()	91	41	17
com.helger.commons.collection.iterate.ReverseListIterator	java.lang.Object next()	83	36	14
com.helger.commons.collection.iterate.ReverseListIterator	java.lang.String toString()	4	1	1
com.helger.commons.collection.iterate.IterableIterator	boolean hasNext()	109	45	20
com.helger.commons.collection.iterate.IterableIterator	java.lang.Object next()	95	40	18
com.helger.commons.collection.iterate.IterableIterator	void remove()	5	5	null
com.helger.commons.collection.iterate.IterableIterator	java.util.Iterator iterator()	2	2	null
com.helger.commons.collection.iterate.IterableIterator	java.lang.String toString()	4	1	1
com.helger.commons.collection.iterate.IterableIterator	com.helger.commons.collection.iterate.IIterableIterator createEmpty()	4	3	1
com.helger.commons.collection.CollectionHelper	java.util.Collection makeUnmodifiable(java.util.Collection)	3	1	1
com.helger.commons.collection.CollectionHelper	java.util.List makeUnmodifiable(java.util.List)	7	5	1
com.helger.commons.collection.CollectionHelper	java.util.Set makeUnmodifiable(java.util.Set)	7	2	1
