Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
org.codehaus.plexus.util.ReflectionUtils	void setVariableValueInObject(java.lang.Object,java.lang.String,java.lang.Object)	2	1	1
org.codehaus.plexus.util.ReflectionUtils	java.lang.Object getValueIncludingSuperclasses(java.lang.String,java.lang.Object)	4	3	1
org.codehaus.plexus.util.MatchPatterns	boolean matches(java.lang.String,boolean)	3	1	1
org.codehaus.plexus.util.FastMap$EntrySet	java.util.Iterator iterator()	3	3	null
org.codehaus.plexus.util.FastMap$EntrySet	int size()	2	2	null
org.codehaus.plexus.util.FastMap$EntrySet	boolean contains(java.lang.Object)	4	1	1
org.codehaus.plexus.util.FastMap$KeySet$1	boolean hasNext()	3	3	null
org.codehaus.plexus.util.FastMap$KeySet$1	java.lang.Object next()	4	4	null
org.codehaus.plexus.util.DirectoryScanner	void setBasedir(java.io.File)	11	11	null
org.codehaus.plexus.util.DirectoryScanner	void setFollowSymlinks(boolean)	2	2	null
org.codehaus.plexus.util.DirectoryScanner	void scan()	11	11	null
org.codehaus.plexus.util.DirectoryScanner	java.lang.String[] getIncludedFiles()	11	11	null
org.codehaus.plexus.util.DirectoryScanner	java.lang.String[] getIncludedDirectories()	2	2	null
org.codehaus.plexus.util.DirectoryScanner	boolean isSymbolicLink(java.io.File,java.lang.String)	4	1	1
org.codehaus.plexus.util.DirectoryScanner	boolean isParentSymbolicLink(java.io.File,java.lang.String)	7	1	1
org.codehaus.plexus.util.StringOutputStream	java.lang.String toString()	39	16	11
org.codehaus.plexus.util.Os	boolean isFamily(java.lang.String)	18	17	1
org.codehaus.plexus.util.Os	boolean isOs(java.lang.String,java.lang.String,java.lang.String,java.lang.String)	9	1	1
org.codehaus.plexus.util.Os	boolean isValidFamily(java.lang.String)	4	1	1
org.codehaus.plexus.util.StringUtils	boolean isNotEmpty(java.lang.String)	5	1	1
org.codehaus.plexus.util.StringUtils	boolean isEmpty(java.lang.String)	5	1	1
org.codehaus.plexus.util.StringUtils	boolean isBlank(java.lang.String)	5	1	1
org.codehaus.plexus.util.StringUtils	boolean isNotBlank(java.lang.String)	5	1	1
org.codehaus.plexus.util.StringUtils	java.lang.String[] split(java.lang.String,java.lang.String)	6	1	1
org.codehaus.plexus.util.StringUtils	java.lang.String join(java.util.Iterator,java.lang.String)	7	7	null
org.codehaus.plexus.util.StringUtils	java.lang.String repeat(java.lang.String,int)	8	8	null
org.codehaus.plexus.util.StringUtils	int countMatches(java.lang.String,java.lang.String)	8	5	3
org.codehaus.plexus.util.StringUtils	java.lang.String removeAndHump(java.lang.String,java.lang.String)	4	2	2
org.codehaus.plexus.util.StringUtils	java.lang.String capitalizeFirstLetter(java.lang.String)	4	2	2
org.codehaus.plexus.util.StringUtils	java.lang.String lowercaseFirstLetter(java.lang.String)	4	2	2
org.codehaus.plexus.util.StringUtils	java.lang.String quoteAndEscape(java.lang.String,char,char[],char,boolean)	6	6	null
org.codehaus.plexus.util.StringUtils	java.lang.String removeDuplicateWhitespace(java.lang.String)	4	1	1
org.codehaus.plexus.util.StringUtils	java.lang.String unifyLineSeparators(java.lang.String,java.lang.String)	3	1	1
org.codehaus.plexus.util.IOUtil	void copy(java.io.InputStream,java.io.OutputStream)	2	2	null
org.codehaus.plexus.util.IOUtil	void copy(java.io.Reader,java.io.Writer)	7	7	null
org.codehaus.plexus.util.IOUtil	java.lang.String toString(java.io.InputStream)	3	3	null
org.codehaus.plexus.util.IOUtil	byte[] toByteArray(java.io.InputStream)	4	4	null
org.codehaus.plexus.util.IOUtil	java.lang.String toString(java.io.Reader)	5	5	null
org.codehaus.plexus.util.IOUtil	void copy(java.lang.String,java.io.Writer)	2	2	null
org.codehaus.plexus.util.IOUtil	void close(java.io.InputStream)	5	3	2
org.codehaus.plexus.util.IOUtil	void close(java.io.OutputStream)	5	3	2
org.codehaus.plexus.util.IOUtil	void close(java.io.Reader)	8	4	4
org.codehaus.plexus.util.IOUtil	void close(java.io.Writer)	18	9	9
org.codehaus.plexus.util.MatchPattern	boolean matchPatternStart(java.lang.String,boolean)	6	1	1
org.codehaus.plexus.util.MatchPattern	org.codehaus.plexus.util.MatchPattern fromString(java.lang.String)	2	2	null
org.codehaus.plexus.util.SweeperPool	java.lang.Object get()	4	1	1
org.codehaus.plexus.util.SweeperPool	boolean put(java.lang.Object)	8	2	2
org.codehaus.plexus.util.SweeperPool	int getSize()	6	2	1
org.codehaus.plexus.util.PathTool	java.lang.String getRelativePath(java.lang.String,java.lang.String)	6	1	1
org.codehaus.plexus.util.PathTool	java.lang.String getDirectoryComponent(java.lang.String)	4	1	1
org.codehaus.plexus.util.PathTool	java.lang.String calculateLink(java.lang.String,java.lang.String)	5	1	1
org.codehaus.plexus.util.PathTool	java.lang.String getRelativeWebPath(java.lang.String,java.lang.String)	5	1	1
org.codehaus.plexus.util.PathTool	java.lang.String getRelativeFilePath(java.lang.String,java.lang.String)	22	1	1
org.codehaus.plexus.util.introspection.ReflectionValueExtractor	java.lang.Object evaluate(java.lang.String,java.lang.Object)	39	14	5
org.codehaus.plexus.util.FastMap$Values$1	boolean hasNext()	3	3	null
org.codehaus.plexus.util.FastMap$Values$1	java.lang.Object next()	4	4	null
org.codehaus.plexus.util.WriterFactory	org.codehaus.plexus.util.xml.XmlStreamWriter newXmlWriter(java.io.File)	2	2	null
org.codehaus.plexus.util.cli.Commandline	org.codehaus.plexus.util.cli.Commandline$Argument createArgument()	8	5	3
org.codehaus.plexus.util.cli.Commandline	org.codehaus.plexus.util.cli.Arg createArg()	28	5	2
org.codehaus.plexus.util.cli.Commandline	void setExecutable(java.lang.String)	15	13	2
org.codehaus.plexus.util.cli.Commandline	void addArguments(java.lang.String[])	6	6	null
org.codehaus.plexus.util.cli.Commandline	void addEnvironment(java.lang.String,java.lang.String)	2	2	null
org.codehaus.plexus.util.cli.Commandline	java.lang.String[] getEnvironmentVariables()	2	2	null
org.codehaus.plexus.util.cli.Commandline	java.lang.String[] getShellCommandline()	10	8	1
org.codehaus.plexus.util.cli.Commandline	java.lang.String toString()	5	5	null
org.codehaus.plexus.util.cli.Commandline	void setWorkingDirectory(java.lang.String)	7	7	null
org.codehaus.plexus.util.cli.Commandline	void setWorkingDirectory(java.io.File)	2	2	null
