# Helper Methods called multiple times: 1695
Helper Method Class: com.helger.commons.io.stream.NonClosingInputStream, Helper Method name: void close()
	Called from: com.helger.commons.io.stream.WrappedInputStreamTest, method: void testAll()
	Called from: com.helger.commons.io.resource.URLResourceTest, method: void testAccess()
	Called from: com.helger.commons.io.resource.URLResourceTest, method: void testAccess()
	Called from: com.helger.commons.io.resource.URLResourceTest, method: void testAccess()
	Called from: com.helger.commons.io.resource.URLResourceTest, method: void testAccess()
	Called from: com.helger.commons.io.resource.URLResourceTest, method: void testAccess()
	Called from: com.helger.commons.io.resource.URLResourceTest, method: void testAccess()
	Called from: com.helger.commons.io.resource.URLResourceTest, method: void testAccess()
	Called from: com.helger.commons.io.resource.URLResourceTest, method: void testAccess()
	Called from: com.helger.commons.io.stream.WrappedInputStreamTest, method: void testAll()
Helper Method Class: com.helger.commons.collection.ArrayHelper, Helper Method name: float[] getAllExceptFirst(float[])
	Called from: com.helger.commons.collection.ArrayHelperTest, method: void testGetAllExceptFirst()
	Called from: com.helger.commons.collection.ArrayHelperTest, method: void testGetAllExceptFirst()
	Called from: com.helger.commons.collection.ArrayHelperTest, method: void testGetAllExceptFirst()
	Called from: com.helger.commons.collection.ArrayHelperTest, method: void testGetAllExceptFirst()
Helper Method Class: com.helger.commons.collection.CollectionHelper, Helper Method name: java.lang.Object getAtIndex(java.util.List,int,java.lang.Object)
	Called from: com.helger.commons.collection.CollectionHelperTest, method: void testGetSafe()
	Called from: com.helger.commons.collection.CollectionHelperTest, method: void testGetSafe()
	Called from: com.helger.commons.collection.CollectionHelperTest, method: void testGetSafe()
Helper Method Class: com.helger.commons.io.stream.StreamHelper, Helper Method name: com.helger.commons.state.ESuccess writeStream(java.io.OutputStream,java.lang.String,java.nio.charset.Charset)
	Called from: com.helger.commons.io.stream.StreamHelperTest, method: void testWriteStream()
	Called from: com.helger.commons.io.stream.StreamHelperTest, method: void testWriteStream()
Helper Method Class: com.helger.commons.io.stream.BitOutputStream, Helper Method name: void writeBit(int)
	Called from: com.helger.commons.io.stream.BitOutputStreamTest, method: void testSemantics()
	Called from: com.helger.commons.io.stream.BitOutputStreamTest, method: void testWriteBitBigEndian()
	Called from: com.helger.commons.io.stream.BitOutputStreamTest, method: void testWriteBitBigEndian()
	Called from: com.helger.commons.io.stream.BitOutputStreamTest, method: void testWriteBitLittleEndian()
	Called from: com.helger.commons.io.stream.BitOutputStreamTest, method: void testWriteBitLittleEndian()
	Called from: com.helger.commons.io.stream.BitOutputStreamTest, method: void testSemantics()
	Called from: com.helger.commons.io.stream.BitOutputStreamTest, method: void testSemantics()
Helper Method Class: com.helger.commons.cache.MappedCache, Helper Method name: boolean hasMaxSize()
	Called from: com.helger.commons.cache.MappedCacheTest, method: void testMaxSize()
	Called from: com.helger.commons.cache.MappedCacheTest, method: void testNoMaxSize()
Helper Method Class: com.helger.commons.regex.RegExHelper, Helper Method name: java.lang.String[] getSplitToArray(java.lang.CharSequence,java.lang.String,int)
	Called from: com.helger.commons.regex.RegExHelperTest, method: void testSplitWithLimit()
	Called from: com.helger.commons.regex.RegExHelperTest, method: void testSplitWithLimit()
	Called from: com.helger.commons.regex.RegExHelperTest, method: void testSplitWithLimit()
	Called from: com.helger.commons.regex.RegExHelperTest, method: void testSplitWithLimit()
	Called from: com.helger.commons.regex.RegExHelperTest, method: void testSplitWithLimit()
	Called from: com.helger.commons.regex.RegExHelperTest, method: void testSplitWithLimit()
	Called from: com.helger.commons.regex.RegExHelperTest, method: void testSplitWithLimit()
	Called from: com.helger.commons.regex.RegExHelperTest, method: void testSplitWithLimit()
	Called from: com.helger.commons.regex.RegExHelperTest, method: void testSplitWithLimit()
	Called from: com.helger.commons.regex.RegExHelperTest, method: void testSplitWithLimit()
	Called from: com.helger.commons.regex.RegExHelperTest, method: void testSplitWithLimit()
	Called from: com.helger.commons.regex.RegExHelperTest, method: void testSplitWithLimit()
Helper Method Class: com.helger.commons.collection.CollectionHelperTest$toString__19, Helper Method name: java.lang.Object apply(java.lang.Object)
	Called from: com.helger.commons.string.StringHelperTest, method: void testAppendQuotedSB()
	Called from: com.helger.commons.string.StringHelperTest, method: void testAppendQuotedSB()
	Called from: com.helger.commons.string.StringHelperTest, method: void testAppendQuotedSB()
	Called from: com.helger.commons.string.StringHelperTest, method: void testAppendQuotedSB()
Helper Method Class: com.helger.commons.format.FormatterStringSkipPrefixAndSuffix, Helper Method name: java.lang.Object apply(java.lang.Object)
	Called from: com.helger.commons.string.StringHelperTest, method: void testAppendQuotedSB()
	Called from: com.helger.commons.string.StringHelperTest, method: void testAppendQuotedSB()
	Called from: com.helger.commons.string.StringHelperTest, method: void testAppendQuotedSB()
	Called from: com.helger.commons.string.StringHelperTest, method: void testAppendQuotedSB()
Helper Method Class: com.helger.commons.collection.ArrayHelper, Helper Method name: char[] getCopy(char[],int)
	Called from: com.helger.commons.collection.ArrayHelperTest, method: void testGetCopy()
	Called from: com.helger.commons.collection.ArrayHelperTest, method: void testGetCopy()
Helper Method Class: com.helger.commons.collection.ArrayHelper, Helper Method name: boolean[] getAllExceptLast(boolean[])
	Called from: com.helger.commons.collection.ArrayHelperTest, method: void testGetAllExceptLast()
	Called from: com.helger.commons.collection.ArrayHelperTest, method: void testGetAllExceptLast()
	Called from: com.helger.commons.collection.ArrayHelperTest, method: void testGetAllExceptLast()
	Called from: com.helger.commons.collection.ArrayHelperTest, method: void testGetAllExceptLast()
Helper Method Class: com.helger.commons.collection.CollectionHelper, Helper Method name: java.util.List makeUnmodifiableNotNull(java.util.List)
	Called from: com.helger.commons.collection.CollectionHelperTest, method: void testMakeUnmodifiableNotNull()
	Called from: com.helger.commons.collection.CollectionHelperTest, method: void testMakeUnmodifiableNotNull()
	Called from: com.helger.commons.collection.CollectionHelperTest, method: void testMakeUnmodifiableNotNull()
Helper Method Class: com.helger.commons.string.StringHelper, Helper Method name: int getOccurrenceCountIgnoreCase(java.lang.String,char,java.util.Locale)
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
	Called from: com.helger.commons.string.StringHelperTest, method: void testGetOccurrenceCountIgnoreCaseChar()
Helper Method Class: com.helger.commons.io.file.SimpleFileIO, Helper Method name: com.helger.commons.state.ESuccess writeFile(java.io.File,byte[])
	Called from: com.helger.commons.base64.Base64Test, method: void testDecodeFileToFile()
	Called from: com.helger.commons.io.file.FileOperationManagerTest, method: void testCopyFile()
	Called from: com.helger.commons.io.file.FileOperationManagerTest, method: void testDeleteFileIfExisting()
	Called from: com.helger.commons.io.file.FileOperationManagerTest, method: void testDeleteFile()
